r U' L' u' L [UD] 
r U' L' D' f [RL] 
r U' L' D' B [UD] 
r d' f' R' U [RL] 
r d' f' R' d [FB] 
r d' f' l' f [UD] 
r d' f' l' B [RL] 
r d' B' u' f [RL] 
r d' B' u' B [UD] 
r d' B' D' R [UD] 
r d' B' D' l [FB] 
u M2 u' S' [R2L'] E2 
u M2 D' M' [F2B'] E2 
D S2 u' M [B2F'] E2 
D S2 D' S' [R2L'] E2 
L F' r' U' F [UD] 
L F' r' U' b [RL] 
L F' r' d' r [FB] 
L F' r' d' L [UD] 
L F' L' f' r [UD] 
L F' L' f' L [FB] 
L F' L' B' U [FB] 
L F' L' B' d [RL] 
L b' U' f' U [FB] 
L b' U' f' d [RL] 
L b' U' B' R [FB] 
L b' U' B' l [UD] 
L b' d' R' F [RL] 
L b' d' R' b [UD] 
L b' d' l' U [RL] 
L b' d' l' d [FB] 
l F [UD] F [U'D'] R' 
l F [UD] F [U'D'] l' 
l F [UD] b [R'L'] U' 
l F [UD] b [R'L'] d' 
l F' R' [U'D'] F [UD] 
l F' R' [U'D'] b [RL] 
l F' l' [F'B'] U [FB] 
l F' l' [F'B'] d [RL] 
l b [RL] F [R'L'] U' 
l b [RL] F [R'L'] d' 
l b [RL] b [U'D'] r' 
l b [RL] b [U'D'] L' 
l b' u' [F'B'] R [FB] 
l b' u' [F'B'] l [UD] 
l b' D' [R'L'] F [RL] 
l b' D' [R'L'] b [UD] 
l2 F R2 [U2D] f R2 
l2 F R2 [U2D] f M2 
l2 F R2 [U2D] f l2 
l2 F R2 [U2D] f [R2L] 
l2 F R2 [U2D] f [R2L'] 
l2 F R2 [U2D] B U2 
l2 F R2 [U2D] B d2 
l2 F R2 [U2D] B E2 
l2 F R2 [U2D] B [U2D] 
l2 F R2 [U2D] B [U2D'] 
l2 F l2 [D2U] F u2 
l2 F l2 [D2U] F D2 
l2 F l2 [D2U] F E2 
l2 F l2 [D2U] F [D2U] 
l2 F l2 [D2U] F [D2U'] 
l2 F l2 [D2U] b R2 
l2 F l2 [D2U] b M2 
l2 F l2 [D2U] b l2 
l2 F l2 [D2U] b [R2L] 
l2 F l2 [D2U] b [R2L'] 
l2 b U2 [L2R] f U2 
l2 b U2 [L2R] f d2 
l2 b U2 [L2R] f E2 
l2 b U2 [L2R] f [U2D] 
l2 b U2 [L2R] f [U2D'] 
l2 b U2 [L2R] B M2 
l2 b U2 [L2R] B r2 
l2 b U2 [L2R] B L2 
l2 b U2 [L2R] B [L2R] 
l2 b U2 [L2R] B [L2R'] 
l2 b d2 [R2L] F R2 
l2 b d2 [R2L] F M2 
l2 b d2 [R2L] F l2 
l2 b d2 [R2L] F [R2L] 
l2 b d2 [R2L] F [R2L'] 
l2 b d2 [R2L] b U2 
l2 b d2 [R2L] b d2 
l2 b d2 [R2L] b E2 
l2 b d2 [R2L] b [U2D] 
l2 b d2 [R2L] b [U2D'] 
d S [U2D] f [R2L'] S' 
d S [U2D] B [U2D'] S' 
d S2 [D2U] M' [F2B'] E2 
M [F2B'] [D2U] S' E' R2 
M [F2B'] [D2U] S' E' M2 
M [F2B'] [D2U] S' E' l2 
M [F2B'] [D2U] S' E' [R2L] 
M [F2B'] [D2U] S' E' [R2L'] 
E2 M2 [F2B'] [D2U] M2 [F2B'] 
S U' f' U r U 
S U' f' U r d 
S U' f' U L F 
S U' f' U L b 
S U' f' r f R 
S U' f' r f l 
S U' f' r B U 
S U' f' r B d 
S U' f' L U F 
S U' f' L U b 
S U' f' L d R 
S U' f' L d l 
S U' f' d F R 
S U' f' d F l 
S U' f' d b U 
S U' f' d b d 
S U' B' U R F 
S U' B' U R b 
S U' B' U l u 
S U' B' U l D 
S U' B' R U F 
S U' B' R U b 
S U' B' R d R 
S U' B' R d l 
S U' B' l F u 
S U' B' l F D 
S U' B' l b R 
S U' B' l b l 
S U' B' d f u 
S U' B' d f D 
S U' B' d B R 
S U' B' d B l 
S R u R' u' S' 
S R u R' D' M' 
S R u l' F' M' 
S R u l' b' E 
S R D f' R' S' 
S R D f' l' E 
S R D B' u' M 
S R D B' D' S' 
S R [D2U'] r' [B2F] E' 
S R [D2U'] L' [D2U] S' 
S l f R' f' E' 
S l f R' B' M' 
S l f l' u' S' 
S l f l' D' M' 
S l B U' f' M 
S l B U' B' E' 
S l B d' R' E' 
S l B d' l' S' 
S l [B2F'] r' [U2D] S 
S l [B2F'] L' [B2F] E' 
S d' R' U F r 
S d' R' U F L 
S d' R' U b u 
S d' R' U b D 
S d' R' F U r 
S d' R' F U L 
S d' R' F d F 
S d' R' F d b 
S d' R' d R F 
S d' R' d R b 
S d' R' d l u 
S d' R' d l D 
S d' R' b r F 
S d' R' b r b 
S d' R' b L u 
S d' R' b L D 
S d' l' U f U 
S d' l' U f d 
S d' l' U B r 
S d' l' U B L 
S d' l' f R U 
S d' l' f R d 
S d' l' f l F 
S d' l' f l b 
S d' l' d r U 
S d' l' d r d 
S d' l' d L F 
S d' l' d L b 
S d' l' B U r 
S d' l' B U L 
S d' l' B d F 
S d' l' B d b 
S M [B2F'] r' S U2 
S M [B2F'] r' S d2 
S M [B2F'] r' S E2 
S M [B2F'] r' S [U2D] 
S M [B2F'] r' S [U2D'] 
S M [B2F'] L' E' f2 
S M [B2F'] L' E' B2 
S M [B2F'] L' E' S2 
S M [B2F'] L' E' [B2F] 
S M [B2F'] L' E' [B2F'] 
S' [L2R] [D2U'] M E f2 
S' [L2R] [D2U'] M E B2 
S' [L2R] [D2U'] M E S2 
S' [L2R] [D2U'] M E [B2F] 
S' [L2R] [D2U'] M E [B2F'] 
S2 u' S2 R' u' M2 
S2 u' S2 R' D' S2 
S2 u' S2 M' F' E2 
S2 u' S2 M' b' M2 
S2 u' S2 l' F' E2 
S2 u' S2 l' b' M2 
S2 u' S2 [R'L'] u' M2 
S2 u' S2 [R'L'] D' S2 
S2 u' S2 [L2R'] u' M2 
S2 u' S2 [L2R'] D' S2 
S2 D' M2 F' u' S2 
S2 D' M2 F' D' M2 
S2 D' M2 S r' S2 
S2 D' M2 S L' E2 
S2 D' M2 b' r' S2 
S2 D' M2 b' L' E2 
S2 D' M2 [F'B'] u' S2 
S2 D' M2 [F'B'] D' M2 
S2 D' M2 [B2F'] u' S2 
S2 D' M2 [B2F'] D' M2 
S2 [U2D] S' E2 [L2R] E2 
S2 [U2D'] M2 [F'B'] [U2D'] M2 
b' R u R' u' [FB] 
b' R u R' D' [RL] 
b' R u l' F' [RL] 
b' R u l' b' [UD] 
b' R D f' R' [FB] 
b' R D f' l' [UD] 
b' R D B' u' [RL] 
b' R D B' D' [FB] 
b' u' f' R f R 
b' u' f' R f l 
b' u' f' R B U 
b' u' f' R B d 
b' u' f' l U F 
b' u' f' l U b 
b' u' f' l d R 
b' u' f' l d l 
b' u' B' u R F 
b' u' B' u R b 
b' u' B' u l u 
b' u' B' u l D 
b' u' B' D f u 
b' u' B' D f D 
b' u' B' D B R 
b' u' B' D B l 
b' D' R' u F r 
b' D' R' u F L 
b' D' R' u b u 
b' D' R' u b D 
b' D' R' D R F 
b' D' R' D R b 
b' D' R' D l u 
b' D' R' D l D 
b' D' l' F R U 
b' D' l' F R d 
b' D' l' F l F 
b' D' l' F l b 
b' D' l' b U r 
b' D' l' b U L 
b' D' l' b d F 
b' D' l' b d b 
b' l f R' f' [UD] 
b' l f R' B' [RL] 
b' l f l' u' [FB] 
b' l f l' D' [RL] 
b' l B U' f' [RL] 
b' l B U' B' [UD] 
b' l B d' R' [UD] 
b' l B d' l' [FB] 
b' [D2U] F' [D2U'] R F 
b' [D2U] F' [D2U'] R b 
b' [D2U] F' [D2U'] l u 
b' [D2U] F' [D2U'] l D 
b' [D2U] b' [L2R'] u r 
b' [D2U] b' [L2R'] u L 
b' [D2U] b' [L2R'] D F 
b' [D2U] b' [L2R'] D b 
[FB] U' [B2F'] R2 f u2 
[FB] U' [B2F'] R2 f D2 
[FB] U' [B2F'] R2 B R2 
[FB] U' [B2F'] R2 B l2 
[FB] U' [B2F'] l2 F R2 
[FB] U' [B2F'] l2 F l2 
[FB] U' [B2F'] l2 b U2 
[FB] U' [B2F'] l2 b d2 
[FB] d' [R2L'] F2 R F2 
[FB] d' [R2L'] F2 R b2 
[FB] d' [R2L'] F2 l u2 
[FB] d' [R2L'] F2 l D2 
[FB] d' [R2L'] b2 r U2 
[FB] d' [R2L'] b2 r d2 
[FB] d' [R2L'] b2 L F2 
[FB] d' [R2L'] b2 L b2 
[F'B'] U R f' U' [B2F] 
[F'B'] U R f' d' [R2L] 
[F'B'] U R B' R' [B2F] 
[F'B'] U R B' l' [D2U] 
[F'B'] U l U' R' [U2D] 
[F'B'] U l U' l' [B2F] 
[F'B'] U l d' F' [U2D] 
[F'B'] U l d' b' [R2L] 
[F'B'] R' U' R U [FB] 
[F'B'] R' U' R d [RL] 
[F'B'] R' U' l F [UD] 
[F'B'] R' U' l b [RL] 
[F'B'] R' d' F U [RL] 
[F'B'] R' d' F d [FB] 
[F'B'] R' d' b r [FB] 
[F'B'] R' d' b L [UD] 
[F'B'] r' U' F r [FB] 
[F'B'] r' U' F L [UD] 
[F'B'] r' U' r U [FB] 
[F'B'] r' U' r d [RL] 
[F'B'] r' U' L F [UD] 
[F'B'] r' U' L b [RL] 
[F'B'] r' U' b u [FB] 
[F'B'] r' U' b D [RL] 
[F'B'] r' d' r u [RL] 
[F'B'] r' d' r D [FB] 
[F'B'] r' d' f U [RL] 
[F'B'] r' d' f d [FB] 
[F'B'] r' d' L f [RL] 
[F'B'] r' d' L B [UD] 
[F'B'] r' d' B r [FB] 
[F'B'] r' d' B L [UD] 
[F'B'] L' f' r F [UD] 
[F'B'] L' f' r b [RL] 
[F'B'] L' f' u f [UD] 
[F'B'] L' f' u B [RL] 
[F'B'] L' f' D r [UD] 
[F'B'] L' f' D L [FB] 
[F'B'] L' f' L u [RL] 
[F'B'] L' f' L D [FB] 
[F'B'] L' B' U r [UD] 
[F'B'] L' B' U L [FB] 
[F'B'] L' B' r f [RL] 
[F'B'] L' B' r B [UD] 
[F'B'] L' B' L U [FB] 
[F'B'] L' B' L d [RL] 
[F'B'] L' B' d F [RL] 
[F'B'] L' B' d b [UD] 
[F'B'] l' f' U f [UD] 
[F'B'] l' f' U B [RL] 
[F'B'] l' f' d r [UD] 
[F'B'] l' f' d L [FB] 
[F'B'] l' B' R f [RL] 
[F'B'] l' B' R B [UD] 
[F'B'] l' B' l U [FB] 
[F'B'] l' B' l d [RL] 
[F'B'] d f U' f' [L2R] 
[F'B'] d f U' B' [U2D] 
[F'B'] d f d' R' [U2D] 
[F'B'] d f d' l' [B2F] 
[F'B'] d B r' U' [L2R] 
[F'B'] d B r' d' [B2F] 
[F'B'] d B L' f' [D2U] 
[F'B'] d B L' B' [L2R] 
[F'B'] [R2L] F' [R2L'] U [FB] 
[F'B'] [R2L] F' [R2L'] d [RL] 
[F'B'] [R2L] b' [D2U'] R [FB] 
[F'B'] [R2L] b' [D2U'] l [UD] 
[F'B'] [L2R] u' [F2B'] U [RL] 
[F'B'] [L2R] u' [F2B'] d [FB] 
[F'B'] [L2R] D' [L2R'] U [FB] 
[F'B'] [L2R] D' [L2R'] d [RL] 
[U2D'] S2 [U2D] S' [R2L'] E2 
[D2U'] M2 U' S [L2R'] E2 
[D2U'] M2 d' M [B2F'] E2 
[D2U'] [L2R] u' [R2L'] [U2D'] [B2F] 
[D2U'] [L2R] D' [F2B'] [U2D'] [R2L] 
[F2B'] u' M2 u' F' M2 
[F2B'] u' M2 u' b' E2 
[F2B'] u' M2 D' r' E2 
[F2B'] u' M2 D' L' S2 
[F2B'] D' S2 u' r' E2 
[F2B'] D' S2 u' L' S2 
[F2B'] D' S2 D' f' E2 
[F2B'] D' S2 D' B' M2 
[F2B'] [U2D] S2 [U2D] f' E2 
[F2B'] [U2D] S2 [U2D] B' M2 
[B2F'] R' U' R U [B2F] 
[B2F'] R' U' R d [L2R] 
[B2F'] R' U' l F [U2D] 
[B2F'] R' U' l b [L2R] 
[B2F'] R' d' F U [R2L] 
[B2F'] R' d' F d [B2F] 
[B2F'] R' d' b r [B2F] 
[B2F'] R' d' b L [U2D] 
[B2F'] r' U' F r S' 
[B2F'] r' U' F L E' 
[B2F'] r' U' r U S' 
[B2F'] r' U' r d M 
[B2F'] r' U' L F E' 
[B2F'] r' U' L b M 
[B2F'] r' U' b u S' 
[B2F'] r' U' b D M 
[B2F'] r' d' r u M' 
[B2F'] r' d' r D S' 
[B2F'] r' d' f U M' 
[B2F'] r' d' f d S' 
[B2F'] r' d' L f M' 
[B2F'] r' d' L B E' 
[B2F'] r' d' B r S' 
[B2F'] r' d' B L E' 
[B2F'] L' f' r F E 
[B2F'] L' f' r b M' 
[B2F'] L' f' u f E 
[B2F'] L' f' u B M' 
[B2F'] L' f' D r E 
[B2F'] L' f' D L S' 
[B2F'] L' f' L u M' 
[B2F'] L' f' L D S' 
[B2F'] L' B' U r E 
[B2F'] L' B' U L S' 
[B2F'] L' B' r f M 
[B2F'] L' B' r B E 
[B2F'] L' B' L U S' 
[B2F'] L' B' L d M 
[B2F'] L' B' d F M 
[B2F'] L' B' d b E 
[B2F'] l' f' U f [D2U] 
[B2F'] l' f' U B [R2L] 
[B2F'] l' f' d r [D2U] 
[B2F'] l' f' d L [B2F] 
[B2F'] l' B' R f [L2R] 
[B2F'] l' B' R B [D2U] 
[B2F'] l' B' l U [B2F] 
[B2F'] l' B' l d [L2R] 
[RL] U [FB] U [F'B'] [R'L'] 
[RL] U [FB] d [R'L'] [F'B'] 
[RL] d [RL] U [R'L'] [F'B'] 
[RL] d [RL] d [F'B'] [R'L'] 
[R2L'] f [D2U] [L2R] F M2 
[R2L'] f [D2U] [L2R] F r2 
[R2L'] f [D2U] [L2R] F L2 
[R2L'] f [D2U] [L2R] F [L2R] 
[R2L'] f [D2U] [L2R] F [L2R'] 
[R2L'] f [D2U] [L2R] b u2 
[R2L'] f [D2U] [L2R] b D2 
[R2L'] f [D2U] [L2R] b E2 
[R2L'] f [D2U] [L2R] b [D2U] 
[R2L'] f [D2U] [L2R] b [D2U'] 
[R2L'] B [R2L] [D2U] F u2 
[R2L'] B [R2L] [D2U] F D2 
[R2L'] B [R2L] [D2U] F E2 
[R2L'] B [R2L] [D2U] F [D2U] 
[R2L'] B [R2L] [D2U] F [D2U'] 
[R2L'] B [R2L] [D2U] b R2 
[R2L'] B [R2L] [D2U] b M2 
[R2L'] B [R2L] [D2U] b l2 
[R2L'] B [R2L] [D2U] b [R2L] 
[R2L'] B [R2L] [D2U] b [R2L'] 
